index,full_name,short_name,description,output_type
444,ee.Reducer.splitWeights,ee.Reducer.splitWeights,"Returns a Reducer with the same outputs as the given Reducer, but with each weighted input replaced by two unweighted inputs.",Reducer
445,ee.Reducer.toCollection,ee.Reducer.toCollection,Returns a reducer that collects its inputs into a FeatureCollection.,Reducer
446,ee.Reducer.toList,ee.Reducer.toList,"Creates a reducer that collects its inputs into a list, optionally grouped into tuples.",Reducer
447,ee.Reducer.unweighted,ee.Reducer.unweighted,"Returns a Reducer with the same inputs and outputs as the given Reducer, but with no weighted inputs.",Reducer
448,ee.String,ee.String,Constructs a new String.,String
449,ee.String.compareTo,compareTo,Compares two strings lexicographically. Returns: the value 0 if the two strings are lexicographically equal; a value less than 0 if string1 is less than string2;  and a value greater than 0 if string1 is lexicographically greater than string2.,Integer
450,ee.String.decodeJSON,decodeJSON,Decodes a JSON string.,Object
451,ee.String.encodeJSON,encodeJSON,"Encodes an object to JSON.  Supports primitives, lists and dictionaries.",String
452,ee.String.index,index,"Searches a string for the first occurrence of a substring.  Returns the index of the first match, or -1.",Integer
453,ee.String.match,match,Matches a string against a regular expression.  Returns a list of matching strings.,List
454,ee.String.rindex,rindex,"Searches a string for the last occurrence of a substring.  Returns the index of the first match, or -1.",Integer
455,ee.String.split,split,"Splits a string on a regular expression, Returning a list of strings.",List
456,ee.String.toLowerCase,toLowerCase,Converts all of the characters in a string to lower case.,String
457,ee.String.toUpperCase,toUpperCase,Converts all of the characters in a string to upper case.,String
458,ee.String.trim,trim,"Returns a string whose value is the original string, with any leading and trailing whitespace removed.",String
459,ee.Terrain.aspect,ee.Terrain.aspect,Calculates aspect in degrees from a terrain DEM.,Image
460,ee.Terrain.fillMinima,ee.Terrain.fillMinima,Fills local minima.  Only works on INT types.,Image
461,ee.Terrain.hillShadow,ee.Terrain.hillShadow,"Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.",Image
462,ee.Terrain.hillshade,ee.Terrain.hillshade,Computes a simple hillshade from a DEM.,Image
463,ee.Terrain.products,ee.Terrain.products,"Calculates slope, aspect, and a simple hillshade from a terrain DEM.",Image
464,ee.Terrain.slope,ee.Terrain.slope,Calculates slope in degrees from a terrain DEM.,Image
465,Export.image.toAsset,Export.image.toAsset,Creates a batch task to export an Image as a raster to an Earth Engine asset. Tasks can be started from the Tasks tab.,EMPTY
466,Export.image.toCloudStorage,Export.image.toCloudStorage,Creates a batch task to export an Image as a raster to Google Cloud Storage. Tasks can be started from the Tasks tab.,EMPTY
467,Export.image.toDrive,Export.image.toDrive,"Creates a batch task to export an Image as a raster to Drive. Tasks can be started from the Tasks tab. ""crsTransform"", ""scale"", and ""dimensions"" are mutually exclusive.",EMPTY
468,Export.map.toCloudStorage,Export.map.toCloudStorage,"Creates a batch task to export an Image as a rectangular pyramid of map tiles for use with web map viewers. The map tiles will be accompanied by a reference index.html file that displays them using the Google Maps API, and an earth.html file for opening the map on Google Earth.",EMPTY
469,Export.table.toAsset,Export.table.toAsset,Creates a batch task to export a feature collection to an Earth Engine table asset. Tasks can be started from the Tasks tab.,EMPTY
470,Export.table.toBigQuery,Export.table.toBigQuery,Creates a batch task to export a FeatureCollection to BigQuery. Tasks can be started from the Tasks tab.,EMPTY
471,Export.table.toCloudStorage,Export.table.toCloudStorage,Creates a batch task to export a FeatureCollection as a table to Google Cloud Storage. Tasks can be started from the Tasks tab.,EMPTY
472,Export.table.toDrive,Export.table.toDrive,Creates a batch task to export a FeatureCollection as a table to Drive. Tasks can be started from the Tasks tab.,EMPTY
473,Export.table.toFeatureView,Export.table.toFeatureView,Creates a batch task to export a FeatureCollection to a FeatureView asset. Tasks can be started from the Tasks tab.,EMPTY
474,Export.video.toCloudStorage,Export.video.toCloudStorage,"Creates a batch task to export an ImageCollection as a video to Google Cloud Storage. The collection must only contain RGB images. Tasks can be started from the Tasks tab. ""crsTransform"", ""scale"", and ""dimensions"" are mutually exclusive.",EMPTY
475,Export.video.toDrive,Export.video.toDrive,"Creates a batch task to export an ImageCollection as a video to Drive. The collection must only contain RGB images. Tasks can be started from the Tasks tab. ""crsTransform"", ""scale"", and ""dimensions"" are mutually exclusive.",EMPTY
476,ee.Feature.area,area,"Returns the area of the feature's default geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their components (intersecting areas are counted multiple times).",Float
486,ee.Geometry.area,area,"Returns the area of the geometry. Area of points and line strings is 0, and the area of multi geometries is the sum of the areas of their components (intersecting areas are counted multiple times).",Float
487,ee.Date.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
488,ee.Dictionary.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
489,ee.Feature.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
490,ee.FeatureCollection.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
500,ee.Geometry.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
501,ee.Image.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
